District,Gender,"Area, Sex and type of activity",Duration of activity performed (in month),Value
 Dolakha,Male,Non-Economic,6,  1379
 Dolakha,Male,Non-Economic,7,209
 Dolakha,Male,Non-Economic,8,316
 Dolakha,Male,Non-Economic,9,  205
 Dolakha,Male,Non-Economic,10, 2912
 Dolakha,Male,Non-Economic,11,  326
 Dolakha,Male,Non-Economic,12,22891
 Dolakha,Female,Economic,0,  28952
 Dolakha,Female,Economic,1, 509
 Dolakha,Female,Economic,2, 3180
 Dolakha,Female,Economic,3,  1149
 Dolakha,Female,Economic,4, 1441
 Dolakha,Female,Economic,5,  571
 Dolakha,Female,Economic,6,10826
 Dolakha,Female,Economic,7,  2265
 Dolakha,Female,Economic,8,7502
 Dolakha,Female,Economic,9,2870
 Dolakha,Female,Economic,10, 5983
 Dolakha,Female,Economic,11,  496
 Dolakha,Female,Economic,12,15090
 Dolakha,Female,Extended Economic,0,  66101
 Dolakha,Female,Extended Economic,1,  3082
 Dolakha,Female,Extended Economic,2, 6570
 Dolakha,Female,Extended Economic,3,  2905
 Dolakha,Female,Extended Economic,4, 1354
 Dolakha,Female,Extended Economic,5,87
 Dolakha,Female,Extended Economic,6,474
 Dolakha,Female,Extended Economic,7,  25
 Dolakha,Female,Extended Economic,8,71
 Dolakha,Female,Extended Economic,9,41
 Dolakha,Female,Extended Economic,10, 43
 Dolakha,Female,Extended Economic,11, 9
 Dolakha,Female,Extended Economic,12, 72
 Dolakha,Female,Seeking job,0,  79571
 Dolakha,Female,Seeking job,1, 318
 Dolakha,Female,Seeking job,2,381
 Dolakha,Female,Seeking job,3, 200
 Dolakha,Female,Seeking job,4,172
 Dolakha,Female,Seeking job,5,28
 Dolakha,Female,Seeking job,6, 62
 Dolakha,Female,Seeking job,7,  10
 Dolakha,Female,Seeking job,8,11
 Dolakha,Female,Seeking job,9, 9
 Dolakha,Female,Seeking job,10, 25
 Dolakha,Female,Seeking job,11, 0
 Dolakha,Female,Seeking job,12, 45
 Dolakha,Female,Non-Economic,0, 17456
 Dolakha,Female,Non-Economic,1,  1353
 Dolakha,Female,Non-Economic,2, 8595
 Dolakha,Female,Non-Economic,3,  4806
 Dolakha,Female,Non-Economic,4, 6329
 Dolakha,Female,Non-Economic,5,1607
 Dolakha,Female,Non-Economic,6, 6879
 Dolakha,Female,Non-Economic,7, 468
 Dolakha,Female,Non-Economic,8,  989
 Dolakha,Female,Non-Economic,9,  697
 Dolakha,Female,Non-Economic,10, 3199
 Dolakha,Female,Non-Economic,11,  499
 Dolakha,Female,Non-Economic,12,27956
 Sindhupalchok,Male,Economic,0,33731
 Sindhupalchok,Male,Economic,1, 536
 Sindhupalchok,Male,Economic,2, 2297
 Sindhupalchok,Male,Economic,3,  1359
 Sindhupalchok,Male,Economic,4, 1556
 Sindhupalchok,Male,Economic,5,1044
 Sindhupalchok,Male,Economic,6, 5450
 Sindhupalchok,Male,Economic,7,  2547
 Sindhupalchok,Male,Economic,8,  5040
 Sindhupalchok,Male,Economic,9,4003
 Sindhupalchok,Male,Economic,10, 5569
 Sindhupalchok,Male,Economic,11,1366
 Sindhupalchok,Male,Economic,12, 43863
 Sindhupalchok,Male,Extended Economic,0,96719
 Sindhupalchok,Male,Extended Economic,1,  2112
 Sindhupalchok,Male,Extended Economic,2, 3661
 Sindhupalchok,Male,Extended Economic,3,  2135
 Sindhupalchok,Male,Extended Economic,4, 1291
 Sindhupalchok,Male,Extended Economic,5,  443
 Sindhupalchok,Male,Extended Economic,6,912
 Sindhupalchok,Male,Extended Economic,7, 179
 Sindhupalchok,Male,Extended Economic,8, 299
 Sindhupalchok,Male,Extended Economic,9,  106
 Sindhupalchok,Male,Extended Economic,10,228
 Sindhupalchok,Male,Extended Economic,11, 8
 Sindhupalchok,Male,Extended Economic,12, 269
 Sindhupalchok,Male,Seeking job,0,  100879
 Sindhupalchok,Male,Seeking job,1,  2021
 Sindhupalchok,Male,Seeking job,2, 1962
 Sindhupalchok,Male,Seeking job,3, 958
 Sindhupalchok,Male,Seeking job,4, 1041
 Sindhupalchok,Male,Seeking job,5,  211
 Sindhupalchok,Male,Seeking job,6,701
 Sindhupalchok,Male,Seeking job,7,  65
 Sindhupalchok,Male,Seeking job,8, 188
 Sindhupalchok,Male,Seeking job,9,41
 Sindhupalchok,Male,Seeking job,10, 91
 Sindhupalchok,Male,Seeking job,11, 0
 Sindhupalchok,Male,Seeking job,12, 205
 Sindhupalchok,Male,Non-Economic,0,  53741
 Sindhupalchok,Male,Non-Economic,1,  1812
 Sindhupalchok,Male,Non-Economic,2, 5112
 Sindhupalchok,Male,Non-Economic,3,  3006
 Sindhupalchok,Male,Non-Economic,4, 3028
 Sindhupalchok,Male,Non-Economic,5,1238
 Sindhupalchok,Male,Non-Economic,6, 2645
 Sindhupalchok,Male,Non-Economic,7, 735
 Sindhupalchok,Male,Non-Economic,8,  1086
 Sindhupalchok,Male,Non-Economic,9,  960
 Sindhupalchok,Male,Non-Economic,10, 2132
 Sindhupalchok,Male,Non-Economic,11,  519
 Sindhupalchok,Male,Non-Economic,12, 32349
 Sindhupalchok,Female,Economic,0,  42854
 Sindhupalchok,Female,Economic,1, 769
 Sindhupalchok,Female,Economic,2, 2798
 Sindhupalchok,Female,Economic,3,  2632
 Sindhupalchok,Female,Economic,4, 3081
 Sindhupalchok,Female,Economic,5,2291
 Sindhupalchok,Female,Economic,6,12471
 Sindhupalchok,Female,Economic,7,  5496
 Sindhupalchok,Female,Economic,8,  9091
 Sindhupalchok,Female,Economic,9,5355
 Sindhupalchok,Female,Economic,10, 5920
 Sindhupalchok,Female,Economic,11,  811
 Sindhupalchok,Female,Economic,12, 27148
 Sindhupalchok,Female,Extended Economic,0, 106000
 Sindhupalchok,Female,Extended Economic,1,  3175
 Sindhupalchok,Female,Extended Economic,2, 5330
 Sindhupalchok,Female,Extended Economic,3,  3551
 Sindhupalchok,Female,Extended Economic,4, 1200
 Sindhupalchok,Female,Extended Economic,5,  376
 Sindhupalchok,Female,Extended Economic,6,587
 Sindhupalchok,Female,Extended Economic,7, 106
 Sindhupalchok,Female,Extended Economic,8, 153
 Sindhupalchok,Female,Extended Economic,9,32
 Sindhupalchok,Female,Extended Economic,10, 40
 Sindhupalchok,Female,Extended Economic,11,16
 Sindhupalchok,Female,Extended Economic,12, 153
 Sindhupalchok,Female,Seeking job,0, 118823
 Sindhupalchok,Female,Seeking job,1, 370
 Sindhupalchok,Female,Seeking job,2,602
 Sindhupalchok,Female,Seeking job,3, 353
 Sindhupalchok,Female,Seeking job,4,209
 Sindhupalchok,Female,Seeking job,5,  104
 Sindhupalchok,Female,Seeking job,6,129
 Sindhupalchok,Female,Seeking job,7,8
 Sindhupalchok,Female,Seeking job,8,8
 Sindhupalchok,Female,Seeking job,9, 0
 Sindhupalchok,Female,Seeking job,10, 16
 Sindhupalchok,Female,Seeking job,11, 8
 Sindhupalchok,Female,Seeking job,12,  88
 Sindhupalchok,Female,Non-Economic,0, 30890
 Sindhupalchok,Female,Non-Economic,1,  1550
 Sindhupalchok,Female,Non-Economic,2, 7260
 Sindhupalchok,Female,Non-Economic,3,  7015
 Sindhupalchok,Female,Non-Economic,4, 8620
 Sindhupalchok,Female,Non-Economic,5,3898
 Sindhupalchok,Female,Non-Economic,6, 9588
 Sindhupalchok,Female,Non-Economic,7,  2115
 Sindhupalchok,Female,Non-Economic,8,  2860
 Sindhupalchok,Female,Non-Economic,9,2112
 Sindhupalchok,Female,Non-Economic,10, 2739
 Sindhupalchok,Female,Non-Economic,11,  665
 Sindhupalchok,Female,Non-Economic,12, 41407
 Kavrepalanchok,Male,Economic,0,54728
 Kavrepalanchok,Male,Economic,1, 357
 Kavrepalanchok,Male,Economic,2,755
 Kavrepalanchok,Male,Economic,3,  1205
 Kavrepalanchok,Male,Economic,4, 1162
 Kavrepalanchok,Male,Economic,5,  887
 Kavrepalanchok,Male,Economic,6, 7238
 Kavrepalanchok,Male,Economic,7,  2135
 Kavrepalanchok,Male,Economic,8,  4518
 Kavrepalanchok,Male,Economic,9,4148
 Kavrepalanchok,Male,Economic,10, 4666
 Kavrepalanchok,Male,Economic,11,1065
 Kavrepalanchok,Male,Economic,12, 59471
 Kavrepalanchok,Male,Extended Economic,0,  130473
 Kavrepalanchok,Male,Extended Economic,1,  1558
 Kavrepalanchok,Male,Extended Economic,2, 3124
 Kavrepalanchok,Male,Extended Economic,3,  2336
 Kavrepalanchok,Male,Extended Economic,4, 1600
 Kavrepalanchok,Male,Extended Economic,5,  451
 Kavrepalanchok,Male,Extended Economic,6, 1642
 Kavrepalanchok,Male,Extended Economic,7,  98
 Kavrepalanchok,Male,Extended Economic,8, 134
 Kavrepalanchok,Male,Extended Economic,9,  173
 Kavrepalanchok,Male,Extended Economic,10,123
 Kavrepalanchok,Male,Extended Economic,11,16
 Kavrepalanchok,Male,Extended Economic,12, 606
 Kavrepalanchok,Male,Seeking job,0,  136438
 Kavrepalanchok,Male,Seeking job,1,  1130
 Kavrepalanchok,Male,Seeking job,2, 1328
 Kavrepalanchok,Male,Seeking job,3,  1029
 Kavrepalanchok,Male,Seeking job,4,642
 Kavrepalanchok,Male,Seeking job,5,  279
 Kavrepalanchok,Male,Seeking job,6,671
 Kavrepalanchok,Male,Seeking job,7,  62
 Kavrepalanchok,Male,Seeking job,8,  73
 Kavrepalanchok,Male,Seeking job,9,54
 Kavrepalanchok,Male,Seeking job,10, 61
 Kavrepalanchok,Male,Seeking job,11,25
 Kavrepalanchok,Male,Seeking job,12, 541
 Kavrepalanchok,Male,Non-Economic,0,  69134
 Kavrepalanchok,Male,Non-Economic,1,  1834
 Kavrepalanchok,Male,Non-Economic,2, 4315
 Kavrepalanchok,Male,Non-Economic,3,  3508
 Kavrepalanchok,Male,Non-Economic,4, 3036
 Kavrepalanchok,Male,Non-Economic,5,1056
 Kavrepalanchok,Male,Non-Economic,6, 3860
 Kavrepalanchok,Male,Non-Economic,7, 408
 Kavrepalanchok,Male,Non-Economic,8, 615
 Kavrepalanchok,Male,Non-Economic,9,  740
 Kavrepalanchok,Male,Non-Economic,10,577
 Kavrepalanchok,Male,Non-Economic,11,  275
 Kavrepalanchok,Male,Non-Economic,12, 52977
 Kavrepalanchok,Female,Economic,0,  73239
 Kavrepalanchok,Female,Economic,1, 673
 Kavrepalanchok,Female,Economic,2, 1534
 Kavrepalanchok,Female,Economic,3,  2765
 Kavrepalanchok,Female,Economic,4, 3545
 Kavrepalanchok,Female,Economic,5,1937
 Kavrepalanchok,Female,Economic,6,17944
 Kavrepalanchok,Female,Economic,7,  4538
 Kavrepalanchok,Female,Economic,8,  9411
 Kavrepalanchok,Female,Economic,9,5750
 Kavrepalanchok,Female,Economic,10, 4981
 Kavrepalanchok,Female,Economic,11,  676
 Kavrepalanchok,Female,Economic,12, 36490
 Kavrepalanchok,Female,Extended Economic,0, 149350
 Kavrepalanchok,Female,Extended Economic,1,  1748
 Kavrepalanchok,Female,Extended Economic,2, 4337
 Kavrepalanchok,Female,Extended Economic,3,  4081
 Kavrepalanchok,Female,Extended Economic,4, 2064
 Kavrepalanchok,Female,Extended Economic,5,  369
 Kavrepalanchok,Female,Extended Economic,6,963
 Kavrepalanchok,Female,Extended Economic,7,  75
 Kavrepalanchok,Female,Extended Economic,8, 114
 Kavrepalanchok,Female,Extended Economic,9,89
 Kavrepalanchok,Female,Extended Economic,10, 39
 Kavrepalanchok,Female,Extended Economic,11,16
 Kavrepalanchok,Female,Extended Economic,12, 239
 Kavrepalanchok,Female,Seeking job,0, 160554
 Kavrepalanchok,Female,Seeking job,1, 546
 Kavrepalanchok,Female,Seeking job,2,544
 Kavrepalanchok,Female,Seeking job,3, 587
 Kavrepalanchok,Female,Seeking job,4,478
 Kavrepalanchok,Female,Seeking job,5,  133
 Kavrepalanchok,Female,Seeking job,6,363
 Kavrepalanchok,Female,Seeking job,7,  28
 Kavrepalanchok,Female,Seeking job,8,  20
 Kavrepalanchok,Female,Seeking job,9,19
 Kavrepalanchok,Female,Seeking job,10, 10
 Kavrepalanchok,Female,Seeking job,11, 0
 Kavrepalanchok,Female,Seeking job,12, 201
 Kavrepalanchok,Female,Non-Economic,0, 40809
 Kavrepalanchok,Female,Non-Economic,1,  1227
 Kavrepalanchok,Female,Non-Economic,2, 6747
 Kavrepalanchok,Female,Non-Economic,3,  7655
 Kavrepalanchok,Female,Non-Economic,4, 9276
 Kavrepalanchok,Female,Non-Economic,5,3568
 Kavrepalanchok,Female,Non-Economic,6,14647
 Kavrepalanchok,Female,Non-Economic,7,  1449
 Kavrepalanchok,Female,Non-Economic,8,  2565
 Kavrepalanchok,Female,Non-Economic,9,1862
 Kavrepalanchok,Female,Non-Economic,10, 1260
 Kavrepalanchok,Female,Non-Economic,11,  643
 Kavrepalanchok,Female,Non-Economic,12, 71775
 Lalitpur,Male,Economic,0,77326
 Lalitpur,Male,Economic,1, 156
 Lalitpur,Male,Economic,2,366
 Lalitpur,Male,Economic,3, 511
 Lalitpur,Male,Economic,4,528
 Lalitpur,Male,Economic,5, 277
 Lalitpur,Male,Economic,6,  3383
 Lalitpur,Male,Economic,7,880
 Lalitpur,Male,Economic,8,1432
 Lalitpur,Male,Economic,9,957
 Lalitpur,Male,Economic,10,1252
 Lalitpur,Male,Economic,11,  732
 Lalitpur,Male,Economic,12,107333
 Lalitpur,Male,Extended Economic,0,  189411
 Lalitpur,Male,Extended Economic,1,  1362
 Lalitpur,Male,Extended Economic,2,972
 Lalitpur,Male,Extended Economic,3, 786
 Lalitpur,Male,Extended Economic,4,376
 Lalitpur,Male,Extended Economic,5,  84
 Lalitpur,Male,Extended Economic,6, 637
 Lalitpur,Male,Extended Economic,7, 42
 Lalitpur,Male,Extended Economic,8,  100
 Lalitpur,Male,Extended Economic,9, 60
 Lalitpur,Male,Extended Economic,10,85
 Lalitpur,Male,Extended Economic,11, 8
 Lalitpur,Male,Extended Economic,12,  1210
 Lalitpur,Male,Seeking job,0,  190225
 Lalitpur,Male,Seeking job,1,  1018
 Lalitpur,Male,Seeking job,2,524
 Lalitpur,Male,Seeking job,3, 261
 Lalitpur,Male,Seeking job,4,296
 Lalitpur,Male,Seeking job,5, 179
 Lalitpur,Male,Seeking job,6, 534
 Lalitpur,Male,Seeking job,7, 67
 Lalitpur,Male,Seeking job,8,34
 Lalitpur,Male,Seeking job,9, 68
 Lalitpur,Male,Seeking job,10,25
 Lalitpur,Male,Seeking job,11, 8
 Lalitpur,Male,Seeking job,12,  1895
 Lalitpur,Male,Non-Economic,0, 113038
 Lalitpur,Male,Non-Economic,1, 807
 Lalitpur,Male,Non-Economic,2, 1871
 Lalitpur,Male,Non-Economic,3,  1127
 Lalitpur,Male,Non-Economic,4, 1055
 Lalitpur,Male,Non-Economic,5, 434
 Lalitpur,Male,Non-Economic,6,  2006
 Lalitpur,Male,Non-Economic,7,219
 Lalitpur,Male,Non-Economic,8,  385
 Lalitpur,Male,Non-Economic,9,334
 Lalitpur,Male,Non-Economic,10,  324
 Lalitpur,Male,Non-Economic,11,  107
 Lalitpur,Male,Non-Economic,12, 73428
 Lalitpur,Female,Economic,0, 120198
 Lalitpur,Female,Economic,1, 378
 Lalitpur,Female,Economic,2,940
 Lalitpur,Female,Economic,3,  1482
 Lalitpur,Female,Economic,4, 1459
 Lalitpur,Female,Economic,5,  774
 Lalitpur,Female,Economic,6, 7986
 Lalitpur,Female,Economic,7,  1529
 Lalitpur,Female,Economic,8,  2370
 Lalitpur,Female,Economic,9,  1475
 Lalitpur,Female,Economic,10,  1527
 Lalitpur,Female,Economic,11,  416
 Lalitpur,Female,Economic,12, 53457
 Lalitpur,Female,Extended Economic,0, 186490
 Lalitpur,Female,Extended Economic,1,  1199
 Lalitpur,Female,Extended Economic,2, 1173
 Lalitpur,Female,Extended Economic,3,  1388
 Lalitpur,Female,Extended Economic,4,788
 Lalitpur,Female,Extended Economic,5,  234
 Lalitpur,Female,Extended Economic,6, 1383
 Lalitpur,Female,Extended Economic,7,  66
 Lalitpur,Female,Extended Economic,8, 192
 Lalitpur,Female,Extended Economic,9, 116
 Lalitpur,Female,Extended Economic,10,  50
 Lalitpur,Female,Extended Economic,11,34
 Lalitpur,Female,Extended Economic,12, 878
 Lalitpur,Female,Seeking job,0, 191466
 Lalitpur,Female,Seeking job,1, 627
 Lalitpur,Female,Seeking job,2,212
 Lalitpur,Female,Seeking job,3, 210
 Lalitpur,Female,Seeking job,4,159
 Lalitpur,Female,Seeking job,5,76
 Lalitpur,Female,Seeking job,6,361
 Lalitpur,Female,Seeking job,7,  51
 Lalitpur,Female,Seeking job,8,  17
 Lalitpur,Female,Seeking job,9,  42
 Lalitpur,Female,Seeking job,10,  17
 Lalitpur,Female,Seeking job,11, 0
 Lalitpur,Female,Seeking job,12, 752
 Lalitpur,Female,Non-Economic,0, 56815
 Lalitpur,Female,Non-Economic,1, 486
 Lalitpur,Female,Non-Economic,2, 2278
 Lalitpur,Female,Non-Economic,3,  1964
 Lalitpur,Female,Non-Economic,4, 2715
 Lalitpur,Female,Non-Economic,5,1437
 Lalitpur,Female,Non-Economic,6, 7444
 Lalitpur,Female,Non-Economic,7, 687
 Lalitpur,Female,Non-Economic,8,  1249
 Lalitpur,Female,Non-Economic,9,  1281
 Lalitpur,Female,Non-Economic,10, 841
 Lalitpur,Female,Non-Economic,11,  337
 Lalitpur,Female,Non-Economic,12,116458
 Bhaktapur,Male,Economic,0,48665
 Bhaktapur,Male,Economic,1,  237
 Bhaktapur,Male,Economic,2,  602
 Bhaktapur,Male,Economic,3,  611
 Bhaktapur,Male,Economic,4,590
 Bhaktapur,Male,Economic,5,272
 Bhaktapur,Male,Economic,6,  2349
 Bhaktapur,Male,Economic,7,532
 Bhaktapur,Male,Economic,8, 920
 Bhaktapur,Male,Economic,9, 660
 Bhaktapur,Male,Economic,10,1077
 Bhaktapur,Male,Economic,11,  388
 Bhaktapur,Male,Economic,12, 68650
 Bhaktapur,Male,Extended Economic,0,  122287
 Bhaktapur,Male,Extended Economic,1,  759
 Bhaktapur,Male,Extended Economic,2,  466
 Bhaktapur,Male,Extended Economic,3,  479
 Bhaktapur,Male,Extended Economic,4,185
 Bhaktapur,Male,Extended Economic,5, 41
 Bhaktapur,Male,Extended Economic,6, 409
 Bhaktapur,Male,Extended Economic,7, 48
 Bhaktapur,Male,Extended Economic,8,  97
 Bhaktapur,Male,Extended Economic,9,  89
 Bhaktapur,Male,Extended Economic,10,55
 Bhaktapur,Male,Extended Economic,11, 0
 Bhaktapur,Male,Extended Economic,12, 637
 Bhaktapur,Male,Seeking job,0,  121877
 Bhaktapur,Male,Seeking job,1,  553
 Bhaktapur,Male,Seeking job,2,  389
 Bhaktapur,Male,Seeking job,3,  246
 Bhaktapur,Male,Seeking job,4,262
 Bhaktapur,Male,Seeking job,5, 97
 Bhaktapur,Male,Seeking job,6, 378
 Bhaktapur,Male,Seeking job,7, 49
 Bhaktapur,Male,Seeking job,8,  66
 Bhaktapur,Male,Seeking job,9,  67
 Bhaktapur,Male,Seeking job,10,33
 Bhaktapur,Male,Seeking job,11,17
 Bhaktapur,Male,Seeking job,12,  1521
 Bhaktapur,Male,Non-Economic,0,  72986
 Bhaktapur,Male,Non-Economic,1,  269
 Bhaktapur,Male,Non-Economic,2,1297
 Bhaktapur,Male,Non-Economic,3,  675
 Bhaktapur,Male,Non-Economic,4,733
 Bhaktapur,Male,Non-Economic,5,280
 Bhaktapur,Male,Non-Economic,6,  1506
 Bhaktapur,Male,Non-Economic,7,182
 Bhaktapur,Male,Non-Economic,8, 382
 Bhaktapur,Male,Non-Economic,9, 439
 Bhaktapur,Male,Non-Economic,10,  506
 Bhaktapur,Male,Non-Economic,11,  222
 Bhaktapur,Male,Non-Economic,12, 46077
 Bhaktapur,Female,Economic,0,  73492
 Bhaktapur,Female,Economic,1,  239
 Bhaktapur,Female,Economic,2,1096
 Bhaktapur,Female,Economic,3,  1883
 Bhaktapur,Female,Economic,4, 1625
 Bhaktapur,Female,Economic,5, 609
 Bhaktapur,Female,Economic,6,  7377
 Bhaktapur,Female,Economic,7,  1047
 Bhaktapur,Female,Economic,8,  2566
 Bhaktapur,Female,Economic,9,  1055
 Bhaktapur,Female,Economic,10,  1593
 Bhaktapur,Female,Economic,11,  274
 Bhaktapur,Female,Economic,12, 34665
 Bhaktapur,Female,Extended Economic,0, 121576
 Bhaktapur,Female,Extended Economic,1,  601
 Bhaktapur,Female,Extended Economic,2,  970
 Bhaktapur,Female,Extended Economic,3,  1240
 Bhaktapur,Female,Extended Economic,4,718
 Bhaktapur,Female,Extended Economic,5, 256
 Bhaktapur,Female,Extended Economic,6,  1185
 Bhaktapur,Female,Extended Economic,7,  40
 Bhaktapur,Female,Extended Economic,8, 300
 Bhaktapur,Female,Extended Economic,9, 112
 Bhaktapur,Female,Extended Economic,10, 100
 Bhaktapur,Female,Extended Economic,11, 8
 Bhaktapur,Female,Extended Economic,12, 414
 Bhaktapur,Female,Seeking job,0, 125678
 Bhaktapur,Female,Seeking job,1,  315
 Bhaktapur,Female,Seeking job,2,  291
 Bhaktapur,Female,Seeking job,3, 227
 Bhaktapur,Female,Seeking job,4,161
 Bhaktapur,Female,Seeking job,5,  73
 Bhaktapur,Female,Seeking job,6, 287
 Bhaktapur,Female,Seeking job,7,  32
 Bhaktapur,Female,Seeking job,8,  70
 Bhaktapur,Female,Seeking job,9,8
 Bhaktapur,Female,Seeking job,10,  25
 Bhaktapur,Female,Seeking job,11, 0
 Bhaktapur,Female,Seeking job,12, 354
 Bhaktapur,Female,Non-Economic,0, 37139
 Bhaktapur,Female,Non-Economic,1,  286
 Bhaktapur,Female,Non-Economic,2,1807
 Bhaktapur,Female,Non-Economic,3,  1390
 Bhaktapur,Female,Non-Economic,4, 2752
 Bhaktapur,Female,Non-Economic,5, 997
 Bhaktapur,Female,Non-Economic,6,  7706
 Bhaktapur,Female,Non-Economic,7, 691
 Bhaktapur,Female,Non-Economic,8,  1411
 Bhaktapur,Female,Non-Economic,9,  1618
 Bhaktapur,Female,Non-Economic,10,  1139
 Bhaktapur,Female,Non-Economic,11,  216
 Bhaktapur,Female,Non-Economic,12, 70369
 Kathmandu,Male,Economic,0,  315875
 Kathmandu,Male,Economic,1, 750
 Kathmandu,Male,Economic,2, 1932
 Kathmandu,Male,Economic,3,  1852
 Kathmandu,Male,Economic,4, 1782
 Kathmandu,Male,Economic,5,  854
 Kathmandu,Male,Economic,6,10833
 Kathmandu,Male,Economic,7,  2259
 Kathmandu,Male,Economic,8,  3706
 Kathmandu,Male,Economic,9, 3256
 Kathmandu,Male,Economic,10,4799
 Kathmandu,Male,Economic,11,2266
 Kathmandu,Male,Economic,12,391918
 Kathmandu,Male,Extended Economic,0,  728026
 Kathmandu,Male,Extended Economic,1,  3761
 Kathmandu,Male,Extended Economic,2, 1716
 Kathmandu,Male,Extended Economic,3,  1730
 Kathmandu,Male,Extended Economic,4,751
 Kathmandu,Male,Extended Economic,5,  185
 Kathmandu,Male,Extended Economic,6, 1246
 Kathmandu,Male,Extended Economic,7, 101
 Kathmandu,Male,Extended Economic,8, 295
 Kathmandu,Male,Extended Economic,9,118
 Kathmandu,Male,Extended Economic,10,  142
 Kathmandu,Male,Extended Economic,11,34
 Kathmandu,Male,Extended Economic,12,  3979
 Kathmandu,Male,Seeking job,0,  722598
 Kathmandu,Male,Seeking job,1,  2828
 Kathmandu,Male,Seeking job,2, 1809
 Kathmandu,Male,Seeking job,3,  1163
 Kathmandu,Male,Seeking job,4, 1172
 Kathmandu,Male,Seeking job,5,  488
 Kathmandu,Male,Seeking job,6, 2246
 Kathmandu,Male,Seeking job,7, 185
 Kathmandu,Male,Seeking job,8, 414
 Kathmandu,Male,Seeking job,9,256
 Kathmandu,Male,Seeking job,10,  364
 Kathmandu,Male,Seeking job,11,  152
 Kathmandu,Male,Seeking job,12,  8410
 Kathmandu,Male,Non-Economic,0, 412200
 Kathmandu,Male,Non-Economic,1,  2090
 Kathmandu,Male,Non-Economic,2, 5677
 Kathmandu,Male,Non-Economic,3,  2949
 Kathmandu,Male,Non-Economic,4, 3144
 Kathmandu,Male,Non-Economic,5,1474
 Kathmandu,Male,Non-Economic,6, 8411
 Kathmandu,Male,Non-Economic,7, 795
 Kathmandu,Male,Non-Economic,8,  1633
 Kathmandu,Male,Non-Economic,9, 1498
 Kathmandu,Male,Non-Economic,10,2082
 Kathmandu,Male,Non-Economic,11,  581
 Kathmandu,Male,Non-Economic,12,299549
 Kathmandu,Female,Economic,0, 496932
 Kathmandu,Female,Economic,1,  1000
 Kathmandu,Female,Economic,2, 2751
 Kathmandu,Female,Economic,3,  3281
 Kathmandu,Female,Economic,4, 3411
 Kathmandu,Female,Economic,5,1774
 Kathmandu,Female,Economic,6,20044
 Kathmandu,Female,Economic,7,  3035
 Kathmandu,Female,Economic,8,  5258
 Kathmandu,Female,Economic,9, 3302
 Kathmandu,Female,Economic,10,4459
 Kathmandu,Female,Economic,11,1146
 Kathmandu,Female,Economic,12,151061
 Kathmandu,Female,Extended Economic,0, 676192
 Kathmandu,Female,Extended Economic,1,  3172
 Kathmandu,Female,Extended Economic,2, 3696
 Kathmandu,Female,Extended Economic,3,  3002
 Kathmandu,Female,Extended Economic,4, 2227
 Kathmandu,Female,Extended Economic,5,  464
 Kathmandu,Female,Extended Economic,6, 4417
 Kathmandu,Female,Extended Economic,7, 284
 Kathmandu,Female,Extended Economic,8, 455
 Kathmandu,Female,Extended Economic,9,232
 Kathmandu,Female,Extended Economic,10,  265
 Kathmandu,Female,Extended Economic,11, 8
 Kathmandu,Female,Extended Economic,12,  3038
 Kathmandu,Female,Seeking job,0, 687249
