District,Gender,Age-Group,Type of activity,Value
Kavrepalanchok,Male,65 - 69 Years,Activity not stated, 9
Kavrepalanchok,Male,70 - 74 Years,Economic only,1170
Kavrepalanchok,Male,70 - 74 Years,Extended economic only,9
Kavrepalanchok,Male,70 - 74 Years,Seeking job only,0
Kavrepalanchok,Male,70 - 74 Years,Non economic only,  1160
Kavrepalanchok,Male,70 - 74 Years,Activity not stated,25
Kavrepalanchok,Male,75+ Years,Economic only,691
Kavrepalanchok,Male,75+ Years,Extended economic only,  10
Kavrepalanchok,Male,75+ Years,Seeking job only,  16
Kavrepalanchok,Male,75+ Years,Non economic only,  2766
Kavrepalanchok,Male,75+ Years,Activity not stated,88
Kavrepalanchok,Female,10 - 14 Years,Economic only,  317
Kavrepalanchok,Female,10 - 14 Years,Extended economic only,  16
Kavrepalanchok,Female,10 - 14 Years,Seeking job only,1
Kavrepalanchok,Female,10 - 14 Years,Non economic only, 23761
Kavrepalanchok,Female,10 - 14 Years,Activity not stated, 373
Kavrepalanchok,Female,15 - 19 Years,Economic only,2091
Kavrepalanchok,Female,15 - 19 Years,Extended economic only,1
Kavrepalanchok,Female,15 - 19 Years,Seeking job only,  18
Kavrepalanchok,Female,15 - 19 Years,Non economic only, 19298
Kavrepalanchok,Female,15 - 19 Years,Activity not stated, 227
Kavrepalanchok,Female,20 - 24 Years,Economic only,5073
Kavrepalanchok,Female,20 - 24 Years,Extended economic only,  20
Kavrepalanchok,Female,20 - 24 Years,Seeking job only,  80
Kavrepalanchok,Female,20 - 24 Years,Non economic only,  7159
Kavrepalanchok,Female,20 - 24 Years,Activity not stated, 202
Kavrepalanchok,Female,25 - 29 Years,Economic only,5555
Kavrepalanchok,Female,25 - 29 Years,Extended economic only,  50
Kavrepalanchok,Female,25 - 29 Years,Seeking job only,  45
Kavrepalanchok,Female,25 - 29 Years,Non economic only,  2744
Kavrepalanchok,Female,25 - 29 Years,Activity not stated, 102
Kavrepalanchok,Female,30 - 34 Years,Economic only,4796
Kavrepalanchok,Female,30 - 34 Years,Extended economic only,  39
Kavrepalanchok,Female,30 - 34 Years,Seeking job only,  35
Kavrepalanchok,Female,30 - 34 Years,Non economic only,  1934
Kavrepalanchok,Female,30 - 34 Years,Activity not stated,  60
Kavrepalanchok,Female,35 - 39 Years,Economic only,4745
Kavrepalanchok,Female,35 - 39 Years,Extended economic only,  20
Kavrepalanchok,Female,35 - 39 Years,Seeking job only,  14
Kavrepalanchok,Female,35 - 39 Years,Non economic only,  1465
Kavrepalanchok,Female,35 - 39 Years,Activity not stated,  60
Kavrepalanchok,Female,40 - 44 Years,Economic only,3599
Kavrepalanchok,Female,40 - 44 Years,Extended economic only,  20
Kavrepalanchok,Female,40 - 44 Years,Seeking job only,4
Kavrepalanchok,Female,40 - 44 Years,Non economic only,  1475
Kavrepalanchok,Female,40 - 44 Years,Activity not stated,  46
Kavrepalanchok,Female,45 - 49 Years,Economic only,3108
Kavrepalanchok,Female,45 - 49 Years,Extended economic only,  26
Kavrepalanchok,Female,45 - 49 Years,Seeking job only,3
Kavrepalanchok,Female,45 - 49 Years,Non economic only,  1317
Kavrepalanchok,Female,45 - 49 Years,Activity not stated,  50
Kavrepalanchok,Female,50 - 54 Years,Economic only,2486
Kavrepalanchok,Female,50 - 54 Years,Extended economic only,9
Kavrepalanchok,Female,50 - 54 Years,Seeking job only,0
Kavrepalanchok,Female,50 - 54 Years,Non economic only,  1503
Kavrepalanchok,Female,50 - 54 Years,Activity not stated,  53
Kavrepalanchok,Female,55 - 59 Years,Economic only,1601
Kavrepalanchok,Female,55 - 59 Years,Extended economic only,  19
Kavrepalanchok,Female,55 - 59 Years,Seeking job only,2
Kavrepalanchok,Female,55 - 59 Years,Non economic only,  1304
Kavrepalanchok,Female,55 - 59 Years,Activity not stated,  19
Kavrepalanchok,Female,60 - 64 Years,Economic only,1415
Kavrepalanchok,Female,60 - 64 Years,Extended economic only,  18
Kavrepalanchok,Female,60 - 64 Years,Seeking job only,0
Kavrepalanchok,Female,60 - 64 Years,Non economic only,  1873
Kavrepalanchok,Female,60 - 64 Years,Activity not stated,  54
Kavrepalanchok,Female,65 - 69 Years,Economic only,  817
Kavrepalanchok,Female,65 - 69 Years,Extended economic only,1
Kavrepalanchok,Female,65 - 69 Years,Seeking job only,0
Kavrepalanchok,Female,65 - 69 Years,Non economic only,  2071
Kavrepalanchok,Female,65 - 69 Years,Activity not stated,  13
Kavrepalanchok,Female,70 - 74 Years,Economic only,  550
Kavrepalanchok,Female,70 - 74 Years,Extended economic only,1
Kavrepalanchok,Female,70 - 74 Years,Seeking job only,0
Kavrepalanchok,Female,70 - 74 Years,Non economic only,  2105
Kavrepalanchok,Female,70 - 74 Years,Activity not stated,  54
Kavrepalanchok,Female,75+ Years,Economic only,339
Kavrepalanchok,Female,75+ Years,Extended economic only,0
Kavrepalanchok,Female,75+ Years,Seeking job only,0
Kavrepalanchok,Female,75+ Years,Non economic only,  3767
Kavrepalanchok,Female,75+ Years,Activity not stated, 107
Lalitpur,Both Sexes,10 - 14 Years,Economic only,  813
Lalitpur,Both Sexes,10 - 14 Years,Extended economic only,  25
Lalitpur,Both Sexes,10 - 14 Years,Seeking job only,  17
Lalitpur,Both Sexes,10 - 14 Years,Non economic only, 41042
Lalitpur,Both Sexes,10 - 14 Years,Activity not stated, 696
Lalitpur,Both Sexes,15 - 19 Years,Economic only,5802
Lalitpur,Both Sexes,15 - 19 Years,Extended economic only,  69
Lalitpur,Both Sexes,15 - 19 Years,Seeking job only, 161
Lalitpur,Both Sexes,15 - 19 Years,Non economic only, 41649
Lalitpur,Both Sexes,15 - 19 Years,Activity not stated, 480
Lalitpur,Both Sexes,20 - 24 Years,Economic only,  17858
Lalitpur,Both Sexes,20 - 24 Years,Extended economic only, 177
Lalitpur,Both Sexes,20 - 24 Years,Seeking job only, 704
Lalitpur,Both Sexes,20 - 24 Years,Non economic only, 29014
Lalitpur,Both Sexes,20 - 24 Years,Activity not stated, 350
Lalitpur,Both Sexes,25 - 29 Years,Economic only,  25984
Lalitpur,Both Sexes,25 - 29 Years,Extended economic only, 325
Lalitpur,Both Sexes,25 - 29 Years,Seeking job only, 659
Lalitpur,Both Sexes,25 - 29 Years,Non economic only, 14902
Lalitpur,Both Sexes,25 - 29 Years,Activity not stated, 420
Lalitpur,Both Sexes,30 - 34 Years,Economic only,  26461
Lalitpur,Both Sexes,30 - 34 Years,Extended economic only, 351
Lalitpur,Both Sexes,30 - 34 Years,Seeking job only, 443
Lalitpur,Both Sexes,30 - 34 Years,Non economic only,  9691
Lalitpur,Both Sexes,30 - 34 Years,Activity not stated, 268
Lalitpur,Both Sexes,35 - 39 Years,Economic only,  24186
Lalitpur,Both Sexes,35 - 39 Years,Extended economic only, 328
Lalitpur,Both Sexes,35 - 39 Years,Seeking job only, 230
Lalitpur,Both Sexes,35 - 39 Years,Non economic only,  7673
Lalitpur,Both Sexes,35 - 39 Years,Activity not stated, 170
Lalitpur,Both Sexes,40 - 44 Years,Economic only,  19563
Lalitpur,Both Sexes,40 - 44 Years,Extended economic only, 202
Lalitpur,Both Sexes,40 - 44 Years,Seeking job only, 197
Lalitpur,Both Sexes,40 - 44 Years,Non economic only,  6564
Lalitpur,Both Sexes,40 - 44 Years,Activity not stated, 142
Lalitpur,Both Sexes,45 - 49 Years,Economic only,  14261
Lalitpur,Both Sexes,45 - 49 Years,Extended economic only, 162
Lalitpur,Both Sexes,45 - 49 Years,Seeking job only,  97
Lalitpur,Both Sexes,45 - 49 Years,Non economic only,  5705
Lalitpur,Both Sexes,45 - 49 Years,Activity not stated,  89
Lalitpur,Both Sexes,50 - 54 Years,Economic only,  10280
Lalitpur,Both Sexes,50 - 54 Years,Extended economic only, 207
Lalitpur,Both Sexes,50 - 54 Years,Seeking job only,  50
Lalitpur,Both Sexes,50 - 54 Years,Non economic only,  5265
Lalitpur,Both Sexes,50 - 54 Years,Activity not stated,  82
Lalitpur,Both Sexes,55 - 59 Years,Economic only,6572
Lalitpur,Both Sexes,55 - 59 Years,Extended economic only,  33
Lalitpur,Both Sexes,55 - 59 Years,Seeking job only,  65
Lalitpur,Both Sexes,55 - 59 Years,Non economic only,  4825
Lalitpur,Both Sexes,55 - 59 Years,Activity not stated, 101
Lalitpur,Both Sexes,60 - 64 Years,Economic only,4250
Lalitpur,Both Sexes,60 - 64 Years,Extended economic only,  96
Lalitpur,Both Sexes,60 - 64 Years,Seeking job only,  16
Lalitpur,Both Sexes,60 - 64 Years,Non economic only,  5755
Lalitpur,Both Sexes,60 - 64 Years,Activity not stated,  33
Lalitpur,Both Sexes,65 - 69 Years,Economic only,2695
Lalitpur,Both Sexes,65 - 69 Years,Extended economic only,  67
Lalitpur,Both Sexes,65 - 69 Years,Seeking job only,8
Lalitpur,Both Sexes,65 - 69 Years,Non economic only,  5276
Lalitpur,Both Sexes,65 - 69 Years,Activity not stated,  91
Lalitpur,Both Sexes,70 - 74 Years,Economic only,1268
Lalitpur,Both Sexes,70 - 74 Years,Extended economic only,0
Lalitpur,Both Sexes,70 - 74 Years,Seeking job only,0
Lalitpur,Both Sexes,70 - 74 Years,Non economic only,  4723
Lalitpur,Both Sexes,70 - 74 Years,Activity not stated,  48
Lalitpur,Both Sexes,75+ Years,Economic only,797
Lalitpur,Both Sexes,75+ Years,Extended economic only,  47
Lalitpur,Both Sexes,75+ Years,Seeking job only,0
Lalitpur,Both Sexes,75+ Years,Non economic only,  7801
Lalitpur,Both Sexes,75+ Years,Activity not stated,  86
Lalitpur,Male,10 - 14 Years,Economic only,  568
Lalitpur,Male,10 - 14 Years,Extended economic only,  17
Lalitpur,Male,10 - 14 Years,Seeking job only,  17
Lalitpur,Male,10 - 14 Years,Non economic only, 20973
Lalitpur,Male,10 - 14 Years,Activity not stated,  304
Lalitpur,Male,15 - 19 Years,Economic only,3931
Lalitpur,Male,15 - 19 Years,Extended economic only,  43
Lalitpur,Male,15 - 19 Years,Seeking job only, 103
Lalitpur,Male,15 - 19 Years,Non economic only, 21118
Lalitpur,Male,15 - 19 Years,Activity not stated,  258
Lalitpur,Male,20 - 24 Years,Economic only,  10680
Lalitpur,Male,20 - 24 Years,Extended economic only,  92
Lalitpur,Male,20 - 24 Years,Seeking job only, 447
Lalitpur,Male,20 - 24 Years,Non economic only, 13379
Lalitpur,Male,20 - 24 Years,Activity not stated,  143
Lalitpur,Male,25 - 29 Years,Economic only,  15729
Lalitpur,Male,25 - 29 Years,Extended economic only, 205
Lalitpur,Male,25 - 29 Years,Seeking job only, 461
Lalitpur,Male,25 - 29 Years,Non economic only,  3927
Lalitpur,Male,25 - 29 Years,Activity not stated,  239
Lalitpur,Male,30 - 34 Years,Economic only,  17264
Lalitpur,Male,30 - 34 Years,Extended economic only, 211
Lalitpur,Male,30 - 34 Years,Seeking job only, 352
Lalitpur,Male,30 - 34 Years,Non economic only,  1167
Lalitpur,Male,30 - 34 Years,Activity not stated,  176
Lalitpur,Male,35 - 39 Years,Economic only,  16116
Lalitpur,Male,35 - 39 Years,Extended economic only, 178
Lalitpur,Male,35 - 39 Years,Seeking job only, 180
Lalitpur,Male,35 - 39 Years,Non economic only, 735
Lalitpur,Male,35 - 39 Years,Activity not stated,77
Lalitpur,Male,40 - 44 Years,Economic only,  13869
Lalitpur,Male,40 - 44 Years,Extended economic only, 128
Lalitpur,Male,40 - 44 Years,Seeking job only, 172
Lalitpur,Male,40 - 44 Years,Non economic only, 686
Lalitpur,Male,40 - 44 Years,Activity not stated,76
Lalitpur,Male,45 - 49 Years,Economic only,  10277
Lalitpur,Male,45 - 49 Years,Extended economic only,  73
Lalitpur,Male,45 - 49 Years,Seeking job only,  72
Lalitpur,Male,45 - 49 Years,Non economic only, 668
Lalitpur,Male,45 - 49 Years,Activity not stated,56
Lalitpur,Male,50 - 54 Years,Economic only,7591
Lalitpur,Male,50 - 54 Years,Extended economic only, 101
Lalitpur,Male,50 - 54 Years,Seeking job only,  25
Lalitpur,Male,50 - 54 Years,Non economic only, 893
Lalitpur,Male,50 - 54 Years,Activity not stated,34
Lalitpur,Male,55 - 59 Years,Economic only,4664
Lalitpur,Male,55 - 59 Years,Extended economic only,  25
Lalitpur,Male,55 - 59 Years,Seeking job only,  49
Lalitpur,Male,55 - 59 Years,Non economic only,  1225
Lalitpur,Male,55 - 59 Years,Activity not stated,57
Lalitpur,Male,60 - 64 Years,Economic only,3101
Lalitpur,Male,60 - 64 Years,Extended economic only,  65
Lalitpur,Male,60 - 64 Years,Seeking job only,8
Lalitpur,Male,60 - 64 Years,Non economic only,  1857
Lalitpur,Male,60 - 64 Years,Activity not stated,16
Lalitpur,Male,65 - 69 Years,Economic only,1958
Lalitpur,Male,65 - 69 Years,Extended economic only,  42
Lalitpur,Male,65 - 69 Years,Seeking job only,8
Lalitpur,Male,65 - 69 Years,Non economic only,  1812
Lalitpur,Male,65 - 69 Years,Activity not stated,51
Lalitpur,Male,70 - 74 Years,Economic only,  965
Lalitpur,Male,70 - 74 Years,Extended economic only,0
Lalitpur,Male,70 - 74 Years,Seeking job only,0
Lalitpur,Male,70 - 74 Years,Non economic only,  1900
Lalitpur,Male,70 - 74 Years,Activity not stated,16
Lalitpur,Male,75+ Years,Economic only,619
Lalitpur,Male,75+ Years,Extended economic only,  30
Lalitpur,Male,75+ Years,Seeking job only,0
Lalitpur,Male,75+ Years,Non economic only,  3087
Lalitpur,Male,75+ Years,Activity not stated,46
Lalitpur,Female,10 - 14 Years,Economic only,  245
Lalitpur,Female,10 - 14 Years,Extended economic only,8
Lalitpur,Female,10 - 14 Years,Seeking job only,0
Lalitpur,Female,10 - 14 Years,Non economic only, 20069
Lalitpur,Female,10 - 14 Years,Activity not stated, 392
Lalitpur,Female,15 - 19 Years,Economic only,1871
Lalitpur,Female,15 - 19 Years,Extended economic only,  26
Lalitpur,Female,15 - 19 Years,Seeking job only,  58
Lalitpur,Female,15 - 19 Years,Non economic only, 20532
Lalitpur,Female,15 - 19 Years,Activity not stated, 223
Lalitpur,Female,20 - 24 Years,Economic only,7178
Lalitpur,Female,20 - 24 Years,Extended economic only,  85
Lalitpur,Female,20 - 24 Years,Seeking job only, 258
Lalitpur,Female,20 - 24 Years,Non economic only, 15635
Lalitpur,Female,20 - 24 Years,Activity not stated, 207
Lalitpur,Female,25 - 29 Years,Economic only,  10254
Lalitpur,Female,25 - 29 Years,Extended economic only, 120
Lalitpur,Female,25 - 29 Years,Seeking job only, 198
Lalitpur,Female,25 - 29 Years,Non economic only, 10975
Lalitpur,Female,25 - 29 Years,Activity not stated, 181
Lalitpur,Female,30 - 34 Years,Economic only,9197
Lalitpur,Female,30 - 34 Years,Extended economic only, 140
Lalitpur,Female,30 - 34 Years,Seeking job only,  90
Lalitpur,Female,30 - 34 Years,Non economic only,  8524
Lalitpur,Female,30 - 34 Years,Activity not stated,  92
Lalitpur,Female,35 - 39 Years,Economic only,8070
Lalitpur,Female,35 - 39 Years,Extended economic only, 150
Lalitpur,Female,35 - 39 Years,Seeking job only,  50
Lalitpur,Female,35 - 39 Years,Non economic only,  6938
Lalitpur,Female,35 - 39 Years,Activity not stated,  92
Lalitpur,Female,40 - 44 Years,Economic only,5694
Lalitpur,Female,40 - 44 Years,Extended economic only,  74
Lalitpur,Female,40 - 44 Years,Seeking job only,  25
Lalitpur,Female,40 - 44 Years,Non economic only,  5877
Lalitpur,Female,40 - 44 Years,Activity not stated,  66
Lalitpur,Female,45 - 49 Years,Economic only,3984
Lalitpur,Female,45 - 49 Years,Extended economic only,  89
Lalitpur,Female,45 - 49 Years,Seeking job only,  25
Lalitpur,Female,45 - 49 Years,Non economic only,  5038
Lalitpur,Female,45 - 49 Years,Activity not stated,  33
Lalitpur,Female,50 - 54 Years,Economic only,2688
Lalitpur,Female,50 - 54 Years,Extended economic only, 105
Lalitpur,Female,50 - 54 Years,Seeking job only,  24
Lalitpur,Female,50 - 54 Years,Non economic only,  4372
Lalitpur,Female,50 - 54 Years,Activity not stated,  49
Lalitpur,Female,55 - 59 Years,Economic only,1907
Lalitpur,Female,55 - 59 Years,Extended economic only,8
Lalitpur,Female,55 - 59 Years,Seeking job only,  17
Lalitpur,Female,55 - 59 Years,Non economic only,  3600
Lalitpur,Female,55 - 59 Years,Activity not stated,  44
Lalitpur,Female,60 - 64 Years,Economic only,1150
Lalitpur,Female,60 - 64 Years,Extended economic only,  31
Lalitpur,Female,60 - 64 Years,Seeking job only,8
Lalitpur,Female,60 - 64 Years,Non economic only,  3898
Lalitpur,Female,60 - 64 Years,Activity not stated,  17
Lalitpur,Female,65 - 69 Years,Economic only,  737
Lalitpur,Female,65 - 69 Years,Extended economic only,  24
Lalitpur,Female,65 - 69 Years,Seeking job only,0
Lalitpur,Female,65 - 69 Years,Non economic only,  3464
Lalitpur,Female,65 - 69 Years,Activity not stated,  40
Lalitpur,Female,70 - 74 Years,Economic only,  303
Lalitpur,Female,70 - 74 Years,Extended economic only,0
Lalitpur,Female,70 - 74 Years,Seeking job only,0
Lalitpur,Female,70 - 74 Years,Non economic only,  2823
Lalitpur,Female,70 - 74 Years,Activity not stated,  33
Lalitpur,Female,75+ Years,Economic only,178
Lalitpur,Female,75+ Years,Extended economic only,  16
Lalitpur,Female,75+ Years,Seeking job only,0
Lalitpur,Female,75+ Years,Non economic only,  4714
Lalitpur,Female,75+ Years,Activity not stated,  40
Bhaktapur,Both Sexes,10 - 14 Years,Economic only,  369
Bhaktapur,Both Sexes,10 - 14 Years,Extended economic only,0
Bhaktapur,Both Sexes,10 - 14 Years,Seeking job only,  17
Bhaktapur,Both Sexes,10 - 14 Years,Non economic only, 28705
Bhaktapur,Both Sexes,10 - 14 Years,Activity not stated, 635
Bhaktapur,Both Sexes,15 - 19 Years,Economic only,3201
Bhaktapur,Both Sexes,15 - 19 Years,Extended economic only,  55
Bhaktapur,Both Sexes,15 - 19 Years,Seeking job only, 277
Bhaktapur,Both Sexes,15 - 19 Years,Non economic only, 27897
Bhaktapur,Both Sexes,15 - 19 Years,Activity not stated, 368
Bhaktapur,Both Sexes,20 - 24 Years,Economic only,  11424
Bhaktapur,Both Sexes,20 - 24 Years,Extended economic only, 113
Bhaktapur,Both Sexes,20 - 24 Years,Seeking job only, 481
Bhaktapur,Both Sexes,20 - 24 Years,Non economic only, 18950
Bhaktapur,Both Sexes,20 - 24 Years,Activity not stated, 337
Bhaktapur,Both Sexes,25 - 29 Years,Economic only,  16857
Bhaktapur,Both Sexes,25 - 29 Years,Extended economic only, 160
Bhaktapur,Both Sexes,25 - 29 Years,Seeking job only, 440
Bhaktapur,Both Sexes,25 - 29 Years,Non economic only,  8457
Bhaktapur,Both Sexes,25 - 29 Years,Activity not stated, 232
Bhaktapur,Both Sexes,30 - 34 Years,Economic only,  16652
Bhaktapur,Both Sexes,30 - 34 Years,Extended economic only, 197
Bhaktapur,Both Sexes,30 - 34 Years,Seeking job only, 183
Bhaktapur,Both Sexes,30 - 34 Years,Non economic only,  5134
Bhaktapur,Both Sexes,30 - 34 Years,Activity not stated, 158
Bhaktapur,Both Sexes,35 - 39 Years,Economic only,  15132
Bhaktapur,Both Sexes,35 - 39 Years,Extended economic only, 154
Bhaktapur,Both Sexes,35 - 39 Years,Seeking job only, 264
Bhaktapur,Both Sexes,35 - 39 Years,Non economic only,  3799
Bhaktapur,Both Sexes,35 - 39 Years,Activity not stated, 104
Bhaktapur,Both Sexes,40 - 44 Years,Economic only,  12616
Bhaktapur,Both Sexes,40 - 44 Years,Extended economic only,  58
Bhaktapur,Both Sexes,40 - 44 Years,Seeking job only,  60
Bhaktapur,Both Sexes,40 - 44 Years,Non economic only,  3293
Bhaktapur,Both Sexes,40 - 44 Years,Activity not stated,  68
Bhaktapur,Both Sexes,45 - 49 Years,Economic only,9053
Bhaktapur,Both Sexes,45 - 49 Years,Extended economic only,  72
Bhaktapur,Both Sexes,45 - 49 Years,Seeking job only,  80
Bhaktapur,Both Sexes,45 - 49 Years,Non economic only,  2785
Bhaktapur,Both Sexes,45 - 49 Years,Activity not stated,  32
Bhaktapur,Both Sexes,50 - 54 Years,Economic only,6580
Bhaktapur,Both Sexes,50 - 54 Years,Extended economic only,  55
Bhaktapur,Both Sexes,50 - 54 Years,Seeking job only,  38
Bhaktapur,Both Sexes,50 - 54 Years,Non economic only,  2530
Bhaktapur,Both Sexes,50 - 54 Years,Activity not stated,  23
Bhaktapur,Both Sexes,55 - 59 Years,Economic only,4537
Bhaktapur,Both Sexes,55 - 59 Years,Extended economic only,  47
Bhaktapur,Both Sexes,55 - 59 Years,Seeking job only,9
Bhaktapur,Both Sexes,55 - 59 Years,Non economic only,  2411
Bhaktapur,Both Sexes,55 - 59 Years,Activity not stated,  31
Bhaktapur,Both Sexes,60 - 64 Years,Economic only,2920
Bhaktapur,Both Sexes,60 - 64 Years,Extended economic only,  56
Bhaktapur,Both Sexes,60 - 64 Years,Seeking job only,  17
Bhaktapur,Both Sexes,60 - 64 Years,Non economic only,  2693
